captura,precio,agencia,aseos,zona,superficie,habitaciones,gastos,quiet,views,condo,amenities,piscina,terraza,jardín,ascensor,parking
2024-09-10,112000,Ing. Roberto Alarcón,2.0,Distrito Metropolitano Quito,105.0,3,57.0,0,0,0,0,1,1,1,1,0
2024-09-10,380000,MIRAI,4.0,Distrito Metropolitano Quito,350.0,3,195.0,0,0,0,0,1,0,1,0,0
2024-09-10,80000,MIRAI,2.0,Distrito Metropolitano Quito,130.0,2,88.0,0,0,0,0,0,0,1,1,0
2024-09-10,175000,MIRAI,2.0,Metropolitan District of Quito,134.0,3,79.0,0,0,0,0,0,1,0,1,0
2024-09-10,70000,AB&amp;MD Gestión Inmobiliaria By KSA,2.0,Distrito Metropolitano Quito,123.0,3,74.0,0,0,0,0,1,1,0,1,0
2024-09-10,210000,Horizonte Azul,6.0,Metropolitan District of Quito,209.0,7,194.0,0,0,0,0,0,1,0,0,0
2024-09-10,48000,GS CONSTRUCCIONES Y BIENES RAÍCES,1.0,Distrito Metropolitano Quito,55.0,3,77.0,0,0,0,0,0,1,0,0,0
2024-09-10,118000,GS CONSTRUCCIONES Y BIENES RAÍCES,3.0,Distrito Metropolitano Quito,133.0,3,102.0,0,0,0,0,0,0,1,0,0
2024-09-10,115000,Horizonte Azul,1.0,Distrito Metropolitano Quito,102.0,3,62.0,0,0,0,0,0,0,0,0,0
2024-09-10,640000,MIRAI,6.0,Quito,650.0,5,36.0,0,0,0,0,0,1,0,0,0
2024-09-10,110000,Horizonte Azul,3.0,Distrito Metropolitano Quito,220.0,3,186.0,0,0,0,0,0,1,1,0,0
2024-09-10,95000,Horizonte Azul,1.0,Distrito Metropolitano Quito,91.0,2,56.0,0,0,0,0,0,1,0,1,0
2024-09-10,210000,MIRAI,4.0,Quito,198.0,3,198.0,0,0,0,0,0,0,0,0,0
2024-09-10,156000,Emma Barragán,3.0,Distrito Metropolitano Quito,110.0,2,121.0,0,0,0,0,0,1,0,1,0
2024-09-10,90000,Emma Barragán,2.0,Distrito Metropolitano Quito,70.0,2,46.0,0,0,0,0,1,0,1,1,0
2024-09-10,118000,Inmoejecutivos,2.0,Distrito Metropolitano Quito,120.0,3,136.0,0,0,0,0,0,1,0,1,0
2024-09-10,130710,Intramuros Constructora,2.0,Distrito Metropolitano Quito,68.0,1,46.0,0,0,0,0,0,0,0,0,0
2024-09-10,181342,Intramuros Constructora,2.0,Distrito Metropolitano Quito,95.0,2,90.0,0,0,0,0,1,1,1,1,0
2024-09-10,195000,GS CONSTRUCCIONES Y BIENES RAÍCES,4.0,Distrito Metropolitano Quito,156.0,3,177.0,0,0,0,0,1,1,1,1,0
2024-09-10,220920,GS CONSTRUCCIONES Y BIENES RAÍCES,3.0,Distrito Metropolitano Quito,105.0,2,100.0,0,0,0,0,0,1,1,1,0
2024-09-10,135000,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano Quito,100.0,3,63.0,0,0,0,0,1,1,1,1,0
2024-09-10,280000,GS CONSTRUCCIONES Y BIENES RAÍCES,5.0,Distrito Metropolitano Quito,341.0,3,195.0,0,0,0,0,0,1,1,1,0
2024-09-10,150000,GS CONSTRUCCIONES Y BIENES RAÍCES,2.0,Distrito Metropolitano Quito,98.0,2,90.0,0,0,0,0,0,1,0,1,0
2024-09-10,124000,GS CONSTRUCCIONES Y BIENES RAÍCES,3.0,Distrito Metropolitano Quito,144.0,3,180.0,0,0,0,0,0,1,0,1,0
2024-09-10,270000,Inmoejecutivos,3.0,Distrito Metropolitano Quito,164.0,2,162.0,0,0,0,0,0,0,0,1,0
2024-09-10,220000,Inmoejecutivos,2.0,Distrito Metropolitano Quito,155.0,3,121.0,0,0,0,0,1,1,1,1,0
2024-09-10,98000,FREDDY CABRERA - BIENES RAÍCES,3.0,Distrito Metropolitano Quito,95.0,3,116.0,0,0,0,0,0,1,1,1,0
2024-09-10,683000,Proyectos con Futuro,5.0,Distrito Metropolitano Quito,527.0,4,72.0,0,0,0,0,0,0,0,1,0
2024-09-10,156000,Emma Barragán,3.0,Distrito Metropolitano Quito,110.0,2,121.0,0,0,0,0,1,1,1,1,0
